Klatka,Biodro_X,Biodro_Y,Kolano_X,Kolano_Y,Kostka_X,Kostka_Y
1118,616.2872314453125,749.4880981445312,657.681396484375,1073.3123779296875,865.9566650390625,1359.7716064453125
1119,589.6527709960938,730.770263671875,686.4698486328125,1054.51025390625,889.97021484375,1335.21044921875
1120,578.12255859375,738.4876098632812,696.5934448242188,1030.24267578125,888.463134765625,1304.9114990234375
1121,586.7261962890625,747.8688354492188,692.41845703125,1026.5657958984375,902.2487182617188,1283.11279296875
1122,578.0404663085938,762.947021484375,668.9483032226562,1044.4674072265625,897.2664184570312,1272.363525390625
1123,580.404296875,777.794921875,637.595458984375,1058.5804443359375,887.3439331054688,1256.0946044921875
1124,576.781494140625,788.867431640625,609.1106567382812,1073.4033203125,858.9244995117188,1251.8358154296875
1125,581.1101684570312,795.3504638671875,564.8365478515625,1074.18408203125,812.4412231445312,1260.5985107421875
1126,584.8101196289062,799.1566772460938,542.3372192382812,1077.6285400390625,760.0796508789062,1292.002685546875
1127,574.5022583007812,794.1734619140625,504.63623046875,1080.775390625,730.8377075195312,1307.3731689453125
1128,587.0606079101562,781.8489990234375,484.4934387207031,1063.036865234375,641.080322265625,1297.3297119140625
1129,575.3261108398438,775.739501953125,474.7560729980469,1052.76416015625,590.3267211914062,1311.8165283203125
1130,561.615966796875,761.5841674804688,464.8753967285156,1055.616943359375,527.5833740234375,1332.4779052734375
1131,570.473876953125,749.8767700195312,476.78668212890625,1065.51318359375,475.2452087402344,1363.937255859375
1132,588.757568359375,751.3692016601562,468.2724914550781,1081.42236328125,448.6546630859375,1363.85498046875
1133,590.3713989257812,754.2904663085938,458.96405029296875,1103.6702880859375,451.5984191894531,1368.470703125
1134,594.5469360351562,774.441162109375,449.1105651855469,1130.015380859375,487.4610900878906,1375.070068359375
1135,576.9220581054688,798.6015625,433.78399658203125,1156.554443359375,521.2295532226562,1363.288330078125
1136,543.9156494140625,819.4963989257812,437.59783935546875,1157.119384765625,601.8161010742188,1333.8834228515625
1137,574.7391357421875,815.4262084960938,469.96435546875,1157.6866455078125,650.0626831054688,1364.1942138671875
1138,582.7186889648438,816.0306396484375,500.6615295410156,1123.530029296875,734.6717529296875,1346.9808349609375
1139,601.3339233398438,785.322021484375,525.890625,1107.1527099609375,743.5320434570312,1355.5533447265625
1140,603.5956420898438,769.9411010742188,585.7152099609375,1099.3040771484375,802.2057495117188,1379.3394775390625
1141,605.4896850585938,748.9220581054688,645.2127075195312,1080.743408203125,853.6031494140625,1370.41943359375
1142,582.5830078125,734.7691040039062,664.8567504882812,1058.162109375,867.37646484375,1335.015625
1143,569.1401977539062,734.37548828125,681.2595825195312,1031.0582275390625,875.349609375,1309.6470947265625
1144,568.648681640625,747.0613403320312,686.236083984375,1027.7647705078125,895.4022216796875,1290.7042236328125
1145,570.9971923828125,765.4114990234375,668.8822631835938,1046.4744873046875,896.9469604492188,1280.5958251953125
1146,561.2083129882812,779.2613525390625,632.0707397460938,1058.915283203125,873.00146484375,1265.504150390625
1147,564.7730102539062,791.3826293945312,606.7410888671875,1076.863525390625,860.5144653320312,1264.2474365234375
1148,563.48388671875,797.1069946289062,574.338623046875,1076.1630859375,826.0994262695312,1254.89892578125
1149,580.447509765625,806.4305419921875,551.2606811523438,1072.6878662109375,779.21484375,1274.510009765625
1150,574.5388793945312,793.3467407226562,515.4439697265625,1095.3975830078125,737.1243896484375,1332.5040283203125
1151,572.846923828125,782.656005859375,479.9036865234375,1064.723388671875,684.5013427734375,1297.950439453125
1152,584.5286254882812,778.4864501953125,464.8094787597656,1048.8074951171875,593.4900512695312,1296.4969482421875
1153,568.0347290039062,760.721923828125,458.19720458984375,1046.222900390625,531.493896484375,1322.0457763671875
1154,567.237060546875,748.78662109375,459.5902404785156,1058.013427734375,474.7833251953125,1353.9986572265625
1155,582.9637451171875,742.843505859375,460.2237854003906,1064.609619140625,435.5406188964844,1360.3011474609375
1156,586.2533569335938,751.993408203125,457.15283203125,1090.0657958984375,442.27789306640625,1363.91162109375
1157,581.44921875,768.7626342773438,446.86279296875,1115.9305419921875,468.1564636230469,1367.2061767578125
1158,572.3001708984375,781.4208984375,437.1859130859375,1142.7147216796875,504.2633056640625,1365.42578125
1159,544.9627685546875,813.344970703125,416.4923400878906,1161.1220703125,547.6908569335938,1349.1529541015625
1160,558.3428955078125,831.2418823242188,449.6734619140625,1166.8199462890625,610.0938110351562,1368.4278564453125
1161,578.220458984375,822.793212890625,494.1041564941406,1138.6622314453125,716.754150390625,1357.4287109375
1162,573.5132446289062,801.5973510742188,503.56201171875,1109.7071533203125,738.5750122070312,1334.6844482421875
1163,593.8272094726562,780.271728515625,553.0665893554688,1099.5958251953125,771.7461547851562,1361.5599365234375
1164,596.5919799804688,757.6710205078125,616.2366943359375,1087.21875,837.3638916015625,1370.07275390625
1165,589.091552734375,735.1934814453125,656.5142211914062,1059.708984375,870.09375,1334.295166015625
1166,571.89990234375,730.9699096679688,673.349609375,1047.469970703125,865.234375,1326.66162109375
1167,563.0718383789062,736.0546875,682.1477661132812,1035.74658203125,897.880615234375,1304.1119384765625
1168,562.6760864257812,773.9681396484375,646.1957397460938,1034.4334716796875,882.343505859375,1280.362548828125
1169,549.552978515625,775.5221557617188,631.9330444335938,1049.3909912109375,871.8426513671875,1252.9420166015625
1170,548.91162109375,790.36767578125,599.8917846679688,1064.245361328125,842.365234375,1254.1072998046875
1171,545.5628051757812,806.0916137695312,564.5985717773438,1063.5390625,818.7227783203125,1246.1334228515625
1172,560.9608764648438,802.8814086914062,546.481201171875,1068.5482177734375,782.2996215820312,1261.69091796875
1173,565.6233520507812,787.9143676757812,515.2389526367188,1077.083984375,732.235107421875,1304.2491455078125
1174,561.9857177734375,780.4310302734375,468.7965393066406,1058.87890625,673.058349609375,1293.7393798828125
1175,558.7010498046875,767.419189453125,459.7862548828125,1051.197021484375,600.0003051757812,1300.0728759765625
1176,554.3150634765625,754.64111328125,452.8038024902344,1049.0137939453125,540.7749633789062,1324.7054443359375
1177,546.4907836914062,750.7938232421875,447.2976379394531,1055.9923095703125,477.2139587402344,1350.4625244140625
1178,561.8892822265625,743.2852172851562,453.43670654296875,1066.383056640625,431.5340270996094,1368.0748291015625
1179,576.2720336914062,743.6896362304688,449.3583068847656,1085.7020263671875,429.24810791015625,1369.0220947265625
1180,569.3450317382812,759.6488037109375,436.015869140625,1114.92822265625,451.52618408203125,1372.6365966796875
1181,567.4301147460938,781.659912109375,432.6793212890625,1145.3651123046875,482.3499755859375,1377.79541015625
1182,530.6351928710938,809.5882568359375,414.81439208984375,1142.825927734375,562.6375732421875,1326.705078125
1183,549.436767578125,835.6417236328125,437.1956481933594,1168.6761474609375,589.2559814453125,1375.3902587890625
1184,567.7108154296875,827.8634033203125,471.5202941894531,1145.4180908203125,691.9353637695312,1371.330322265625
1185,571.17626953125,804.0637817382812,489.3695983886719,1108.9405517578125,744.0325927734375,1334.5865478515625
1186,598.7962036132812,780.144287109375,528.5648803710938,1103.51708984375,740.5724487304688,1378.8646240234375
1187,602.8137817382812,762.5396118164062,609.8901977539062,1098.1319580078125,819.6185913085938,1387.9105224609375
1188,594.9810791015625,738.5438232421875,652.5159912109375,1069.3551025390625,860.048583984375,1354.552001953125
1189,574.2914428710938,733.2647094726562,671.7559204101562,1052.0638427734375,864.1567993164062,1335.7091064453125
1190,554.1000366210938,735.3963012695312,679.93310546875,1037.75634765625,896.5233764648438,1299.6866455078125
1191,563.5242919921875,765.74462890625,654.1139526367188,1030.302978515625,886.7618408203125,1285.49560546875
1192,561.5310668945312,778.7860107421875,623.1074829101562,1041.227783203125,880.1715698242188,1262.806396484375
1193,553.1296997070312,783.2939453125,614.5269165039062,1065.57373046875,863.987060546875,1265.147216796875
1194,554.12353515625,802.981201171875,578.4683227539062,1072.219970703125,829.7857055664062,1259.2401123046875
1195,566.7024536132812,806.912353515625,548.9736328125,1067.3145751953125,792.1463623046875,1259.809814453125
1196,574.14501953125,796.6525268554688,521.2994384765625,1073.7763671875,739.6624145507812,1292.641357421875
1197,569.1065673828125,792.810302734375,475.8297119140625,1067.1676025390625,688.1636352539062,1299.83935546875
1198,582.4542846679688,782.6017456054688,462.9333190917969,1052.40673828125,604.3093872070312,1288.0841064453125
1199,570.6871337890625,768.9152221679688,456.7760009765625,1049.7967529296875,546.754638671875,1318.34765625
1200,564.399169921875,759.7665405273438,452.00531005859375,1060.2908935546875,476.8407897949219,1356.5570068359375
1201,576.855712890625,745.9990234375,457.46099853515625,1059.4925537109375,430.47906494140625,1364.262451171875
1202,581.3262939453125,751.884521484375,455.142333984375,1081.3685302734375,431.7819519042969,1369.2158203125
1203,585.161865234375,760.1530151367188,449.9772033691406,1110.9180908203125,449.3233642578125,1373.2410888671875
1204,575.715087890625,779.47998046875,441.1922607421875,1137.9332275390625,495.604736328125,1369.4168701171875
1205,549.7908325195312,807.1906127929688,422.0233459472656,1157.19091796875,529.8607177734375,1352.346435546875
1206,553.5807495117188,834.8124389648438,442.9069519042969,1166.6131591796875,589.2740478515625,1365.82470703125
1207,577.0078735351562,827.5189819335938,484.99053955078125,1146.5555419921875,702.556884765625,1368.822021484375
1208,575.74755859375,812.4224853515625,491.2643737792969,1109.39208984375,740.6373291015625,1327.3927001953125
1209,607.135986328125,785.0856323242188,515.9990844726562,1107.4158935546875,740.5836181640625,1373.3048095703125
1210,604.9365234375,768.492919921875,607.3604736328125,1097.42626953125,823.9251708984375,1383.7708740234375
1211,604.8491821289062,745.484619140625,643.2669067382812,1076.027099609375,857.1603393554688,1375.093505859375
1212,586.33544921875,731.0120239257812,663.861572265625,1041.68408203125,858.955810546875,1339.17041015625
1213,568.807373046875,737.7939453125,681.5072631835938,1029.26513671875,884.3271484375,1306.2275390625
1214,574.9061279296875,752.1174926757812,680.6232299804688,1032.652587890625,894.5299072265625,1288.5955810546875
1215,566.6677856445312,764.2158203125,655.558837890625,1044.423095703125,892.6506958007812,1268.3216552734375
1216,562.893798828125,779.731201171875,624.5272827148438,1060.7857666015625,870.2250366210938,1267.447021484375
1217,549.9993896484375,798.6160278320312,573.912841796875,1084.0086669921875,842.5770874023438,1258.7955322265625
1218,560.4071044921875,804.6654663085938,551.0003051757812,1067.4825439453125,799.7080078125,1260.0408935546875
1219,567.1898193359375,796.4674682617188,527.3153686523438,1075.2864990234375,748.80322265625,1288.319091796875
1220,562.9760131835938,777.1021728515625,491.3460693359375,1079.6500244140625,700.3968505859375,1324.7369384765625
1221,563.8090209960938,767.283203125,464.6166687011719,1060.5484619140625,613.3616943359375,1309.770263671875
1222,554.8506469726562,757.0697631835938,464.7986145019531,1051.9195556640625,564.3579711914062,1324.772216796875
1223,546.0697631835938,749.0204467773438,459.812744140625,1055.26904296875,495.9425354003906,1357.1019287109375
1224,556.8375244140625,740.9835815429688,457.81365966796875,1065.2208251953125,440.0907897949219,1373.2362060546875
1225,562.3394165039062,743.6649169921875,448.06292724609375,1082.88916015625,423.9288330078125,1370.9886474609375
1226,566.618408203125,752.3311157226562,439.50714111328125,1103.851806640625,437.7703857421875,1368.5196533203125
1227,563.3450317382812,775.6212158203125,431.2290344238281,1145.3021240234375,472.6716613769531,1374.197509765625
1228,533.5134887695312,803.90625,409.6817321777344,1166.90087890625,508.27435302734375,1358.29443359375
1229,539.3508911132812,837.5974731445312,429.0936584472656,1174.833251953125,569.7056274414062,1362.849609375
1230,559.9732666015625,827.3560180664062,476.4456787109375,1155.677734375,688.1932983398438,1372.7408447265625
1231,562.1224975585938,814.2160034179688,489.6623229980469,1122.4984130859375,730.802490234375,1345.115234375
1232,594.3185424804688,783.7242431640625,516.4559936523438,1104.792724609375,736.3997192382812,1368.2513427734375
1233,587.5726928710938,766.438720703125,583.1260986328125,1105.9561767578125,804.9732055664062,1390.7764892578125
1234,591.6524047851562,746.66015625,627.6890869140625,1078.1966552734375,834.3525390625,1378.880615234375
1235,574.268310546875,739.4962158203125,661.1052856445312,1054.5009765625,856.443603515625,1335.9112548828125
